iter	Passed	Remaining
0	3	700
1	7	713
2	10	685
3	13	659
4	16	660
5	19	636
6	22	620
7	25	610
8	28	606
9	31	598
10	34	590
11	37	580
12	40	580
13	43	575
14	46	571
15	49	570
16	52	562
17	55	556
18	57	548
19	60	542
20	63	538
21	66	538
22	69	533
23	72	529
24	74	524
25	77	521
26	80	518
27	83	514
28	86	510
29	89	507
30	92	503
31	95	501
32	98	498
33	101	495
34	104	491
35	107	487
36	111	489
37	114	487
38	117	485
39	120	482
40	123	480
41	127	478
42	130	475
43	133	473
44	136	469
45	139	468
46	143	466
47	146	462
48	148	457
49	150	452
50	153	448
51	156	444
52	158	440
53	161	437
54	164	434
55	167	430
56	169	426
57	172	422
58	175	418
59	178	417
60	181	413
61	185	412
62	189	411
63	192	408
64	195	405
65	197	401
66	200	397
67	203	395
68	206	391
69	209	388
70	211	384
71	214	381
72	216	377
73	219	373
74	222	370
75	224	366
76	227	363
77	229	359
78	232	355
79	235	353
80	238	349
81	240	346
82	243	343
83	246	340
84	248	336
85	251	332
86	253	329
87	255	325
88	258	322
89	261	319
90	263	315
91	266	312
92	269	309
93	271	306
94	274	303
95	276	299
96	278	295
97	281	292
98	283	289
99	286	286
100	289	283
101	291	280
102	294	276
103	296	273
104	298	270
105	301	267
106	303	263
107	305	260
108	307	257
109	310	253
110	312	250
111	315	247
112	317	244
113	320	241
114	322	238
115	325	235
116	327	232
117	330	229
118	332	226
119	335	223
120	337	220
121	340	217
122	342	214
123	344	211
124	347	208
125	349	205
126	351	202
127	354	199
128	356	196
129	359	193
130	361	190
131	364	187
132	366	184
133	369	181
134	371	178
135	374	176
136	376	173
137	379	170
138	381	167
139	384	164
140	387	161
141	389	159
142	392	156
143	394	153
144	397	150
145	399	147
146	402	144
147	404	142
148	406	139
149	409	136
150	412	133
151	415	131
152	417	128
153	420	125
154	423	122
155	425	120
156	428	117
157	431	114
158	433	111
159	435	108
160	438	106
161	440	103
162	443	100
163	446	97
164	448	95
165	450	92
166	453	89
167	456	86
168	458	84
169	461	81
170	463	78
171	465	75
172	468	73
173	470	70
174	472	67
175	475	64
176	477	62
177	479	59
178	482	56
179	485	53
180	487	51
181	490	48
182	493	45
183	495	43
184	498	40
185	500	37
186	502	34
187	505	32
188	507	29
189	510	26
190	512	24
191	514	21
192	516	18
193	519	16
194	522	13
195	524	10
196	527	8
197	529	5
198	531	2
199	534	0
